user;session_id;lang;infinitive;mood;tense;voice;person;number;correct_form;user_answer;is_correct;time
default_user;1;latin;legere;indicative;present;active;3;singular;legit;legit;True;2025-01-03 20:47:14
default_user;1;latin;legere;indicative;imperfect;passive;2;singular;legebāris;legebaris;True;2025-01-03 20:47:47
default_user;2;latin;capere;indicative;present;active;2;plural;capitis;capietis;False;2025-01-06 16:07:57
default_user;2;latin;laudāre;indicative;present;active;1;singular;laudo;laudo;True;2025-01-06 16:08:07
default_user;2;latin;audīre;indicative;present;active;1;plural;audīmus;audimus;True;2025-01-06 16:08:24
default_user;2;latin;laudāre;indicative;present;active;3;singular;laudat;laudat;True;2025-01-06 16:08:32
default_user;2;latin;capere;indicative;present;active;2;singular;capis;capis;True;2025-01-06 16:08:38
default_user;2;latin;audīre;indicative;present;active;2;plural;audītis;auditis;True;2025-01-06 16:08:50
default_user;2;latin;legere;indicative;present;active;1;singular;lego;lego;True;2025-01-06 16:09:00
default_user;2;latin;legere;indicative;present;active;3;singular;legit;legit;True;2025-01-06 16:09:04
default_user;2;latin;capere;indicative;present;active;1;plural;capimus;capimus;True;2025-01-06 16:09:08
default_user;2;latin;audīre;indicative;present;active;1;singular;audio;audimus;False;2025-01-06 16:09:13
default_user;2;latin;capere;indicative;present;active;2;plural;capitis;capitis;True;2025-01-06 16:09:31
default_user;2;latin;laudāre;indicative;present;active;1;plural;laudāmus;laudamus;True;2025-01-06 16:09:37
default_user;2;latin;monēre;indicative;present;active;3;singular;monet;monet;True;2025-01-06 16:10:05
default_user;2;latin;monēre;indicative;present;active;1;plural;monēmus;monemus;True;2025-01-06 16:10:08
default_user;2;latin;legere;indicative;present;active;2;plural;legitis;legitis;True;2025-01-06 16:10:20
default_user;2;latin;laudāre;indicative;present;active;2;plural;laudātis;laudatis;True;2025-01-06 16:10:28
default_user;2;latin;audīre;indicative;present;active;2;singular;audīs;audis;True;2025-01-06 16:10:33
default_user;2;latin;audīre;indicative;present;active;3;singular;audīt;audit;True;2025-01-06 16:10:37
default_user;2;latin;capere;indicative;present;active;3;plural;capiunt;capiunt;True;2025-01-06 16:10:46
default_user;2;latin;capere;indicative;present;active;3;singular;capit;capit;True;2025-01-06 16:10:53
default_user;2;latin;laudāre;indicative;present;active;3;plural;laudant;laudant;True;2025-01-06 16:11:06
default_user;2;latin;legere;indicative;present;active;1;plural;legimus;legimus;True;2025-01-06 16:11:21
default_user;2;latin;audīre;indicative;present;active;1;singular;audio;audio;True;2025-01-06 16:11:56
default_user;2;latin;monēre;indicative;present;active;3;plural;monent;monent;True;2025-01-06 16:12:00
default_user;2;latin;monēre;indicative;present;active;2;singular;mones;mones;True;2025-01-06 16:12:04
default_user;2;latin;capere;indicative;present;active;1;singular;capio;capio;True;2025-01-06 16:12:08
default_user;2;latin;audīre;indicative;present;active;3;plural;audiunt;audiunt;True;2025-01-06 16:12:16
default_user;2;latin;legere;indicative;present;active;3;plural;legunt;legunt;True;2025-01-06 16:12:26
default_user;2;latin;monēre;indicative;present;active;2;plural;monētis;monetis;True;2025-01-06 16:12:33
default_user;2;latin;monēre;indicative;present;active;1;singular;moneo;moneo;True;2025-01-06 16:12:39
default_user;2;latin;legere;indicative;present;active;2;singular;legis;legis;True;2025-01-06 16:12:44
default_user;2;latin;laudāre;indicative;present;active;2;singular;laudas;laudas;True;2025-01-06 16:12:47
