session_id;user_name;conjugations_included;moods_included;tenses_included;voices_included;interrupted
1;default_user;I, II, III, IV;indicative;present;active;False
2;default_user;I, II, III, IV;indicative;imperfect;active;False
3;default_user;I, II, III, IV;indicative;future simple;active;False
4;default_user;I, II, III, IV;indicative;present;passive;False
5;default_user;I, II, III, IV;indicative;imperfect;passive;False
6;default_user;I, II, III, IV;imperative;present;active;False
7;default_user;I, II, III, IV;imperative;present;passive;False
8;default_user;I, II, III, IV;indicative;perfect;active;False
9;default_user;I, II, III, IV;indicative;future perfect;active;False
10;default_user;I, II, III, IV;indicative;pluperfect;active;False
11;default_user;I, II, III, IV;indicative;perfect;passive;False
12;default_user;I, II, III, IV;indicative;future perfect;active;True
13;default_user;I, II, III, IV;indicative;future perfect;passive;False
14;default_user;I, II, III, IV;subjunctive;imperfect, present;active;True
15;default_user;I, II, III, IV;subjunctive;present;active;False
16;default_user;I, II, III, IV;subjunctive;imperfect;active;False
17;default_user;I, II, III, IV;imperative, indicative, subjunctive;future perfect, future simple, imperfect, perfect, pluperfect, present;active, passive;True
17;default_user;I, II, III, IV;indicative;future simple;passive;False
18;default_user;I, II, III, IV;indicative;pluperfect;passive;False
20;default_user;I, II, III, IV;indicative;present;active, passive;True
20;default_user;I, II, III, IV;indicative;present;active, passive;True
20;default_user;I, II, III, IV;indicative;present;active, passive;True
20;default_user;I, II, III, IV;indicative;present;active, passive;True
20;default_user;I, II, III, IV;indicative;present;active, passive;True
20;default_user;I, II, III, IV;indicative;present;active, passive;True
20;default_user;I, II, III, IV;indicative;present;active, passive;True
20;default_user;I, II, III, IV;indicative;present;active, passive;True
21;default_user;I, II, III, IV;indicative;present;active, passive;True
21;default_user;I, II, III, IV;indicative;present;active, passive;False
22;default_user;I, II, III, IV;indicative;present;active, passive;True
22;default_user;I, II, III, IV;indicative;imperfect;active, passive;False
23;default_user;I, II, III, IV;imperative, indicative, subjunctive;future perfect, future simple, imperfect, perfect, pluperfect, present;active, passive;True
23;default_user;I, II, III, IV;indicative;future simple;active, passive;False
24;default_user;I, II, III, IV;subjunctive;present;active;True
24;default_user;I, II, III, IV;subjunctive;present;passive;False
25;default_user;I, II, III, IV;subjunctive;imperfect;passive;False
26;default_user;I, II, III, IV;imperative, indicative, subjunctive;future perfect, future simple, imperfect, perfect, pluperfect, present;active, passive;True
26;default_user;I, II, III, IV;subjunctive;perfect;active;False
27;default_user;I, II, III, IV;subjunctive;pluperfect;passive;False
28;default_user;I, II, III, IV;subjunctive;pluperfect;active;False
29;default_user;I, II, III, IV;subjunctive;perfect;passive;False
30;default_user;I, II, III, IV;imperative;present;active, passive;False
31;default_user;I, II, III, IV;indicative;perfect;active;False
32;default_user;I, II, III, IV;indicative;future perfect;passive;False
33;default_user;I, II, III, IV;indicative;future perfect;active;False
34;default_user;I, II, III, IV;indicative;perfect;passive;False
35;default_user;I, II, III, IV;subjunctive;present;active;False
36;default_user;I, II, III, IV;subjunctive;imperfect;active;False
37;default_user;I, II, III, IV;indicative;present;active;False
38;default_user;I, II, III, IV;indicative;present;passive;False
39;default_user;I, II, III, IV;indicative;pluperfect;passive;False
40;default_user;I, II, III, IV;indicative;pluperfect;active;False
41;default_user;I, II, III, IV;indicative;future perfect;passive;False
42;default_user;I, II, III, IV;indicative;future simple;passive;False
43;default_user;I, II, III, IV;indicative;future simple;active;False
44;default_user;I, II, III, IV;indicative;imperfect;active;False
45;default_user;I, II, III, IV;indicative;imperfect;passive;False
46;default_user;I, II, III, IV;subjunctive;present;active;False
47;default_user;I, II, III, IV;subjunctive;present;passive;False
48;default_user;I, II, III, IV;subjunctive;imperfect;active;False
49;default_user;I, II, III, IV;subjunctive;imperfect;passive;False
50;default_user;I, II, III, IV;subjunctive;perfect;active;False
51;default_user;I, II, III, IV;subjunctive;perfect;passive;False
52;default_user;I, II, III, IV;subjunctive;pluperfect;active;False
53;default_user;I, II, III, IV;subjunctive;pluperfect;passive;False
54;default_user;I, II, III, IV;imperative;present;active, passive;False
55;default_user;I, II, III, IV;indicative;perfect;passive;False
56;default_user;I, II, III, IV;indicative;future simple;active;False
57;default_user;I, II, III, IV;indicative;perfect;active;True
57;default_user;I, II, III, IV;indicative;pluperfect;active;False
58;default_user;I, II, III, IV;indicative;future simple;passive;False
59;default_user;I, II, III, IV;indicative;future perfect;active;False
60;default_user;I, II, III, IV;indicative;future perfect;passive;False
61;default_user;I, II, III, IV;indicative;perfect;active;False
62;default_user;I, II, III, IV;indicative;present;passive;False
63;default_user;I, II, III, IV;indicative;present;active;False
64;default_user;I, II, III, IV;indicative;pluperfect;passive;False
65;default_user;I, II, III, IV;indicative;imperfect;active;False
66;default_user;I, II, III, IV;imperative;present;active;False
67;default_user;I, II, III, IV;imperative;present;passive;False
68;default_user;I, II, III, IV;indicative;imperfect;passive;False
69;default_user;I, II, III, IV;subjunctive;perfect;passive;False
70;default_user;I, II, III, IV;subjunctive;pluperfect;passive;False
71;default_user;I, II, III, IV;subjunctive;pluperfect;active;False
