session_id;user_name;declensions_included;interrupted
1;default_user;I, II;False
2;default_user;III consonant, III mixed, III vowel;False
3;default_user;interrogative;True
3;default_user;relative;False
4;default_user;relative;False
5;default_user;I, III consonant, III mixed, III vowel, relative;True
5;default_user;IV;False
6;default_user;I, III consonant, III mixed, III vowel, demonstrative;True
6;default_user;I, III consonant, III mixed, III vowel, demonstrative;True
6;default_user;I, III consonant, III mixed, III vowel, demonstrative;True
6;default_user;I, III consonant, III mixed, III vowel, demonstrative;True
6;default_user;I, III consonant, III mixed, III vowel, demonstrative;True
6;default_user;I, III consonant, III mixed, III vowel, demonstrative;True
