user;word_pl;lang;translation;correct;time
pf;jednomyślny, zgodny;latin;ūnanimus;True;2023-05-02 17:22:28
pf;przez (+ acc);latin;per;False;2023-05-02 17:22:30
pf;karać;latin;castīgo;True;2023-05-02 17:22:35
pf;rzeka;latin;fluvius;True;2023-05-02 17:22:39
pf;zostawać;latin;maneo;True;2023-05-02 17:22:41
pf;zazdrościć (komus + dat);latin;invideo;True;2023-05-02 17:22:44
pf;zawsze;latin;semper;True;2023-05-02 17:22:46
pf;sprzedawać;latin;vendo;True;2023-05-02 17:22:49
pf;więc;latin;ĭtăquĕ;False;2023-05-02 17:22:53
pf;oddawać się czemuś, zajmować się czymś (+ dat);latin;studeo;True;2023-05-02 17:23:01
pf;wtedy, następnie;latin;tum;True;2023-05-02 17:23:03
pf;ciągły, trwały, wieczny;latin;sempiternus;True;2023-05-02 17:23:08
pf;uczyć się;latin;discō;False;2023-05-02 17:23:11
pf;troszczyć się, dbać (o coś + dat);latin;cūrō;True;2023-05-02 17:23:15
pf;oszczędność;latin;parsimonia;False;2023-05-02 17:23:19
pf;uczyć, nauczać;latin;doceo;True;2023-05-02 17:23:25
pf;lecz;latin;sed;True;2023-05-02 17:23:26
pf;ciągnąć, pociągać;latin;traho;True;2023-05-02 17:23:28
pf;handel;latin;mercātūra;True;2023-05-02 17:23:32
pf;zmieniać;latin;mūto;True;2023-05-02 17:23:34
pf;bać się;latin;timeō;True;2023-05-02 17:23:36
pf;znany;latin;notus;True;2023-05-02 17:23:38
pf;i;latin;atque;True;2023-05-02 17:23:40
pf;odpowiedni, nadający się;latin;idōneus;True;2023-05-02 17:23:47
pf;rola, pole;latin;ager;True;2023-05-02 17:23:49
pf;czytać;latin;legō;True;2023-05-02 17:23:50
pf;pokazywać;latin;monstrō;False;2023-05-02 17:23:53
pf;jeśli;latin;sī;True;2023-05-02 17:23:55
pf;bardzo;latin;valdē;True;2023-05-02 17:23:57
pf;zgoda;latin;concordia;True;2023-05-02 17:23:59
pf;pilność;latin;dīligentia;True;2023-05-02 17:24:04
pf;rzecz ludzka;latin;humanum;True;2023-05-02 17:24:06
pf;do (+ acc);latin;in;True;2023-05-02 17:24:11
pf;chętnie;latin;libenter;True;2023-05-02 17:24:13
pf;rzadki, mało kto;latin;rarus;True;2023-05-02 17:24:14
pf;twierdzić;latin;affirmo;True;2023-05-02 17:24:17
pf;dawać;latin;do;True;2023-05-02 17:24:18
pf;już;latin;iam;True;2023-05-02 17:24:20
pf;miły;latin;gratus;True;2023-05-02 17:24:22
pf;umieć;latin;scio;True;2023-05-02 17:24:24
