session_id;user_name;start_word;end_word;filtered_parts_of_speech;revise_last_session;interrupted
1;default_user;leo;rex;;False;False
2;default_user;spectaculum;;;False;True
3;default_user;spectaculum;;;False;True
4;default_user;spectaculum;;;False;True
5;default_user;spectaculum;;;False;False
6;default_user;spectaculum;;;False;False
7;default_user;;;;True;False
8;default_user;;;;True;False
9;default_user;;;;True;False
10;default_user;;;;True;False
11;default_user;spectaculum;;;False;False
12;default_user;;;;True;True
